,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
0,droplet,3m,24m,male,Kidney,nan,lymphocyte,S100a8,14.09078598022461,3.248440862080315e-06,0.056679289788007736,0.09572471678256989,6.54486168424658e-91
1,droplet,3m,24m,male,Kidney,nan,lymphocyte,Ngp,11.942831039428711,2.3409334062307607e-06,0.009215941652655602,0.018663598224520683,3.856927048473394e-62
2,droplet,3m,24m,male,Kidney,nan,macrophage,C3ar1,-9.58743953704834,0.00018583271594252437,2.415536073385738e-07,0.00024044384190347046,4.1050208794812594e-07
3,droplet,3m,24m,male,Kidney,nan,lymphocyte,Gpx3,-8.757282257080078,0.001030994695611298,2.3826023607398383e-06,0.00044404520303942263,8.02802210736287e-20
4,droplet,3m,24m,male,Kidney,nan,lymphocyte,Car2,8.520048141479492,8.475903086946346e-06,0.0031115442980080843,0.0045916796661913395,3.3398055793827546e-119
5,droplet,3m,24m,male,Tongue,nan,keratinocyte,Ear5,7.085224151611328,9.763020614173001e-08,1.3257256796350703e-05,7.701866707066074e-05,2.3565169874694556e-09
6,droplet,3m,24m,male,Kidney,nan,macrophage,Ear2,6.8865065574646,3.8145517464727163e-06,0.0004513241583481431,0.0006205338868312538,3.1049104253235553e-28
7,droplet,3m,24m,male,Kidney,nan,lymphocyte,Gadd45a,6.882380485534668,2.3409334062307607e-06,0.00027618001331575215,0.0005543195293284953,1.2565988306155793e-60
8,droplet,3m,24m,male,Spleen,nan,proerythroblast,Prtn3,6.867923259735107,9.976552973967046e-06,0.0011652832617983222,0.0025255864020437002,5.183057520530108e-06
9,droplet,3m,24m,male,Spleen,nan,plasma cell,S100a8,6.865155220031738,1.1084017387474887e-05,0.0012921555899083614,0.0011732730781659484,1.7173513961030515e-24
10,droplet,3m,24m,male,Kidney,nan,macrophage,Mgl2,-6.856764793395996,0.000616883160546422,5.32244212081423e-06,0.0006770823965780437,5.3078514308357456e-11
11,droplet,3m,24m,male,Kidney,nan,macrophage,Lcn2,6.781728267669678,1.6816218249005033e-06,0.00018502575403545052,0.000398652016883716,1.7764222902323526e-09
12,droplet,3m,24m,male,Spleen,nan,erythroblast,Tmcc2,6.742742538452148,3.753260534722358e-05,0.004019540268927813,0.00507065374404192,5.752228876018641e-27
13,droplet,3m,24m,male,Kidney,nan,macrophage,Spic,6.650092124938965,1.2543840739454026e-06,0.00012598188186530024,0.00024940021103248,9.110560131666333e-12
14,droplet,3m,24m,male,Kidney,nan,lymphocyte,5730469M10Rik,6.579463005065918,5.85167344979709e-06,0.0005596233531832695,0.001124977134168148,1.06014265282247e-60
15,droplet,3m,24m,male,Spleen,nan,proerythroblast,Cdk1,6.5545220375061035,9.332537160844367e-07,8.77218772075139e-05,0.00015942798927426338,9.106365589088533e-10
16,droplet,3m,24m,male,Kidney,nan,lymphocyte,Lrg1,6.501338958740234,2.3409334062307607e-06,0.0002120739227393642,0.0004337634309194982,5.350196648725738e-57
17,droplet,3m,24m,male,Spleen,nan,mature NK T cell,S100a8,6.4064788818359375,4.2270785343134776e-06,0.00035857726470567286,0.00044912839075550437,9.03726537650373e-33
18,droplet,3m,24m,male,Spleen,nan,mature NK T cell,S100a9,6.308452606201172,4.428131887834752e-06,0.000350957183400169,0.0004376024007797241,2.3593479927818246e-33
19,droplet,3m,24m,male,Kidney,nan,macrophage,Dab2,-6.251944541931152,0.00021378113888204098,2.8050876608176623e-06,0.000232849910389632,4.9071485730521924e-11
20,droplet,3m,24m,male,Kidney,nan,macrophage,Nr1h3,6.225661754608154,1.7127980527220643e-06,0.00012817913375329226,0.00025785493198782206,4.115668431460093e-11
21,droplet,3m,24m,male,Kidney,nan,lymphocyte,Rsad2,6.121619701385498,6.910850061103702e-06,0.0004811967664863914,0.0014478244120255113,1.208615281596705e-24
22,droplet,3m,24m,male,Kidney,nan,macrophage,Slpi,6.031389236450195,5.717729436582886e-06,0.00037398378481157124,0.0007368418737314641,9.107866797380396e-12
23,droplet,3m,24m,male,Spleen,nan,plasma cell,S100a9,6.025277614593506,1.8104517948813736e-05,0.0011791696306318045,0.0010254808003082871,1.992679495257415e-26
24,droplet,3m,24m,male,Spleen,nan,macrophage,Fcgr4,6.002935886383057,1.995569618884474e-05,0.0012797663221135736,0.002805246040225029,1.28828521042323e-08
25,droplet,3m,24m,male,Spleen,nan,B cell,Ltf,5.9550275802612305,1.8561354409030173e-07,1.1514734069351107e-05,5.43500755156856e-05,4.681801927990777e-08
26,droplet,3m,24m,male,Kidney,nan,macrophage,Fpr2,5.918844699859619,1.474443479310139e-06,8.920273830881342e-05,0.00016907193639781326,1.2751759007209068e-12
27,droplet,3m,24m,male,Spleen,nan,proerythroblast,Spc24,5.9092512130737305,1.4785899793423596e-06,8.886073919711635e-05,0.00012707685527857393,3.887271766812212e-17
28,droplet,3m,24m,male,Kidney,nan,macrophage,A430084P05Rik,-5.898702144622803,0.00036403414560481906,6.101769940869417e-06,0.0002999631396960467,8.81951493553116e-22
29,droplet,3m,24m,male,Spleen,nan,B cell,S100a9,5.810586929321289,6.530330665555084e-06,0.00036651876871474087,0.00048821521340869367,6.14077999547901e-239
30,droplet,3m,24m,male,Kidney,nan,lymphocyte,Mgst1,5.775031566619873,4.530626938503701e-06,0.00024809391470625997,0.00047294559772126377,1.2039468597010012e-60
31,droplet,3m,24m,male,Spleen,nan,B cell,Elane,5.75659704208374,2.567681463006011e-07,1.3881971426599193e-05,6.256461347220466e-05,1.9471293289051536e-10
