,dataset,start_age,end_age,sex,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
0,facs,18m,24m,male,Saa2,-7.531135082244873,0.00022104286472313106,1.1950291991524864e-06,0.0022464022040367126,2.766311586931118e-27
1,facs,18m,24m,male,Bpifa2,7.4215192794799805,3.919960818166146e-07,6.720208330079913e-05,0.0009849524358287454,5.5894902861863136e-27
2,facs,18m,24m,male,Cryaa,6.545356273651123,2.7056708518102823e-07,2.5271157937822863e-05,0.0003788153117056936,6.708681235426309e-21
3,facs,18m,24m,male,Car6,6.541544437408447,9.266799594342956e-08,8.632478056824766e-06,0.00013961958757136017,3.0425630707156306e-06
4,facs,18m,24m,male,Spt1,6.332716464996338,6.31197167422215e-07,5.087487807031721e-05,0.0007279232377186418,3.2591347949228754e-27
5,facs,18m,24m,male,Prm2,6.058564186096191,1.5537274578036886e-07,1.0355884114687797e-05,0.00016239604155998677,9.35482917201675e-09
6,facs,18m,24m,male,Abpa,5.974789619445801,1.8325886230741162e-07,1.1525458830874413e-05,0.0001883328368421644,1.3466903078324474e-09
7,facs,18m,24m,male,Pip,5.898523807525635,1.430113343303674e-07,8.531119419785682e-06,0.00013142026728019118,2.539771072401305e-06
8,facs,18m,24m,male,Hbb-y,5.538888454437256,2.9451214800246817e-07,1.3692295397049747e-05,0.00020718749146908522,6.463763675086982e-13
9,facs,18m,24m,male,Chia,4.90607213973999,9.086248269341013e-07,2.7243318982073106e-05,0.0004174843488726765,3.9533822445939087e-19
10,facs,18m,24m,male,Selenbp2,-4.035703659057617,5.0736220146063715e-05,3.093500254180981e-06,0.0004646030720323324,4.712306729376705e-28
11,facs,18m,24m,male,Orm2,-3.9193222522735596,1.1797597835538909e-05,7.797574426149367e-07,0.00013917185424361378,7.396900296645273e-08
12,facs,18m,24m,male,Ldhc,3.8718230724334717,6.378825787578535e-07,9.338481504528318e-06,0.00014107595779933035,1.7040260951079603e-06
13,facs,18m,24m,male,Mup14,-3.572265863418579,9.596368727216031e-06,8.067653425314347e-07,8.203457400668412e-05,5.600847319631222e-08
14,facs,18m,24m,male,A130040M12Rik,3.3710403442382812,3.7983193124091486e-06,3.929848753614351e-05,0.00014682569599244744,9.527104631856947e-156
15,facs,18m,24m,male,Mbp,-3.2956230640411377,0.001988159492611885,0.00020247427164576948,0.023016253486275673,1.3019072478665119e-15
16,facs,18m,24m,male,Mup7,-3.2872488498687744,4.9438109272159636e-05,5.064087872597156e-06,0.0004016655730083585,3.9856810860250394e-32
17,facs,18m,24m,male,1810046K07Rik,3.2380731105804443,1.5846931091800798e-06,1.4952113815525081e-05,0.00014819169882684946,3.4155035440587816e-18
18,facs,18m,24m,male,Rag2,-3.153921604156494,1.5299927326850593e-05,1.7189533991768258e-06,0.00017933807976078242,5.449186660525936e-09
19,facs,18m,24m,male,Gm6981,3.092334270477295,2.2656406599708134e-06,1.9323088054079562e-05,5.532143040909432e-05,1.9510460039691626e-52
20,facs,18m,24m,male,Saa1,-2.951324939727783,0.00019024856737814844,2.4597104129497893e-05,0.001694818027317524,2.541162985996719e-25
21,facs,18m,24m,male,Rag1,-2.757876396179199,2.4215059966081753e-05,3.5799907891487237e-06,0.00025418392033316195,3.882587773489694e-13
22,facs,18m,24m,male,Foxf1a,-2.5793967247009277,4.0496270230505615e-05,6.775465408281889e-06,0.00025015269056893885,7.647253438953344e-42
23,facs,18m,24m,male,Lars2,2.4126222133636475,9.393010259373114e-05,0.0005001226090826094,0.003921751398593187,1.0694651709044019e-67
24,facs,18m,24m,male,Krt4,2.3951210975646973,8.969824557425454e-05,0.00047183188144117594,0.005715131293982267,3.8030515962114396e-21
25,facs,18m,24m,male,Slco1c1,-2.355367660522461,2.0241481252014637e-05,3.955541160394205e-06,0.0001673630904406309,4.309017700188568e-15
26,facs,18m,24m,male,Ccr9,-2.3109683990478516,4.710093344328925e-05,9.49202058109222e-06,0.00038243745802901685,1.0206193771192391e-23
27,facs,18m,24m,male,Pzp,2.299145221710205,7.02665693097515e-06,3.458282662904821e-05,0.0005370433791540563,7.46170029988991e-11
28,facs,18m,24m,male,Fam25c,-2.284294605255127,3.2689174986444414e-05,6.710621164529584e-06,0.00030316365882754326,1.2207890717485282e-15
29,facs,18m,24m,male,Zbtb32,2.281008005142212,4.834012088394957e-06,2.349414353375323e-05,0.00018666067626327276,5.9946183950338636e-27
30,facs,18m,24m,male,Slco1a4,-2.273740291595459,1.905779936350882e-05,3.941020167985698e-06,0.00016606632561888546,8.979499224581568e-13
31,facs,18m,24m,male,Krt13,2.2727694511413574,0.00010070971620734781,0.0004866796371061355,0.004251610953360796,3.4621602567568144e-42
32,facs,18m,24m,male,Dntt,-2.2726285457611084,0.00015154086577240378,3.1361756555270404e-05,0.0010039831977337599,4.6578438036261846e-40
33,facs,18m,24m,male,Orm1,-2.256061553955078,4.257713953847997e-05,8.913211786421016e-06,0.0003245105326641351,1.4445645670362262e-25
34,facs,18m,24m,male,Mobp,-2.2429468631744385,0.00012373170466162264,2.6138861358049326e-05,0.0017123117577284575,1.52324516801201e-06
35,facs,18m,24m,male,Plp1,-2.2423932552337646,0.00037570236600004137,7.93992294347845e-05,0.003807599889114499,6.6787773674261154e-15
36,facs,18m,24m,male,Plg,2.1793575286865234,3.0607093322032597e-06,1.3863542335457169e-05,0.0001546859712107107,1.0525343288417335e-09
37,facs,18m,24m,male,Mug1,2.1529197692871094,4.78673155157594e-06,2.128788582922425e-05,0.0002531637728679925,4.675329274069038e-13
38,facs,18m,24m,male,Acta2,-2.140320301055908,0.00046525683137588203,0.00010553393804002553,0.005128853023052216,1.712064986808942e-11
39,facs,18m,24m,male,Clec4g,-2.1006898880004883,0.00011519250983837992,2.685675281099975e-05,0.0010291640646755695,1.2441948137972223e-17
40,facs,18m,24m,male,Wnt2,-2.0482113361358643,2.6741239707916975e-05,6.465594651672291e-06,0.00020601082360371947,3.754321135930035e-18
41,facs,18m,24m,male,Asb5,2.043619155883789,6.5093090597656555e-06,2.683648381207604e-05,0.0003238917561247945,1.599868814260667e-13
42,facs,18m,24m,male,Fam129c,2.001950979232788,8.556799912184943e-06,3.427352203289047e-05,0.00025109638227149844,4.811114675938268e-34
