,dataset,start_age,end_age,sex,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
0,droplet,18m,21m,female,Oas1f,12.89425277709961,1.90558324675294e-09,1.4514854228764307e-05,5.9593185142148286e-05,3.926401412549611e-38
1,droplet,18m,21m,female,Defb6,11.656116485595703,2.0816260715150747e-08,6.718376243952662e-05,0.0009807571768760681,1.075021196368123e-31
2,droplet,18m,21m,female,Klk5,11.088815689086914,3.813865223634139e-09,8.308935321110766e-06,7.994614134076983e-05,3.1316864624937774e-09
3,droplet,18m,21m,female,Krt77,10.89262866973877,1.2078922750902166e-08,2.296530146850273e-05,0.000151933723827824,4.3018192152121325e-66
4,droplet,18m,21m,female,Calm4,9.282502174377441,3.1659672572459385e-07,0.00019716023234650493,0.0009340179967693985,0.0
5,droplet,18m,21m,female,Krt1,9.23287296295166,4.6958371058281045e-07,0.00028254376957193017,0.0014848244609311223,8.762499567297352e-273
6,droplet,18m,21m,female,Calm5,9.185708999633789,5.3379380915430374e-08,3.108533928752877e-05,0.00013196778309065849,3.711154680309655e-137
7,droplet,18m,21m,female,Capns2,8.798308372497559,1.44445422733952e-07,6.430747453123331e-05,0.00021342856052797288,0.0
8,droplet,18m,21m,female,Mt4,7.609466552734375,3.599338072035607e-07,7.02912948327139e-05,0.00044369883835315704,2.643198731995167e-159
9,droplet,18m,21m,female,Acer1,7.530763626098633,6.367931604245314e-08,1.1775812708947342e-05,6.552685954375193e-05,4.229012828155055e-23
10,droplet,18m,21m,female,Serpinb2,7.502903461456299,2.555156299877126e-07,4.634662764146924e-05,0.00019764377793762833,6.775047639404907e-217
11,droplet,18m,21m,female,Krtdap,7.447100639343262,2.786813865895965e-06,0.0004863050708081573,0.0026838420890271664,1.4918302099095688e-247
12,droplet,18m,21m,female,Dsc3,7.303027153015137,2.6811176212504506e-07,4.2339699575677514e-05,0.00015600120241288096,8.716625476148139e-225
13,droplet,18m,21m,female,Spink5,7.037436485290527,1.023121427579099e-07,1.3440358088701032e-05,0.00013230639160610735,1.8894732438209577e-22
14,droplet,18m,21m,female,Psapl1,7.007845878601074,9.673157563838686e-08,1.2449288078641985e-05,8.992708171717823e-05,1.562711966971421e-23
15,droplet,18m,21m,female,Cst6,6.760624408721924,1.9030458133784123e-06,0.00020634796237573028,0.004074421711266041,4.580516379873073e-16
16,droplet,18m,21m,female,Pou2f3,6.587890148162842,8.038252019559877e-08,7.732492122158874e-06,3.3689917472656816e-05,7.711313964427595e-09
17,droplet,18m,21m,female,Krt15,6.389057159423828,9.285258784075268e-06,0.0007782013271935284,0.0031289318576455116,0.0
18,droplet,18m,21m,female,Fgfbp1,6.296171188354492,7.538270097029454e-07,5.9239129768684506e-05,0.0002484713331796229,2.892027959861225e-268
19,droplet,18m,21m,female,Lhx2,6.2706499099731445,1.2545861238777434e-07,9.686292287369724e-06,9.805310401134193e-05,3.674770928691654e-12
20,droplet,18m,21m,female,Wdr65,6.193957805633545,1.4214941757018096e-07,1.0406752153357957e-05,4.6284814743557945e-05,4.333834411217605e-18
21,droplet,18m,21m,female,Gdpd2,6.10967493057251,1.2066956855960598e-07,8.3329096014495e-06,4.3421703594503924e-05,2.0344490989654292e-10
22,droplet,18m,21m,female,Ly6g6c,6.090010643005371,1.6990964013530174e-06,0.00011574284872040153,0.0006425496540032327,1.5016171671178099e-221
23,droplet,18m,21m,female,Wnt3,6.045047760009766,1.7340236979634938e-07,1.1449808880570345e-05,4.799521411769092e-05,2.0610409074521775e-22
24,droplet,18m,21m,female,Serpina3h,5.914333343505859,1.3155744227333344e-07,7.934333552839234e-06,3.503728657960892e-05,2.7641658264966608e-09
25,droplet,18m,21m,female,Krt10,5.847107410430908,1.5123852790566161e-05,0.0008705971413291991,0.004383460618555546,3.4140124474146807e-292
26,droplet,18m,21m,female,Gpha2,5.8077569007873535,3.8898457432878786e-07,2.1789259335491806e-05,0.00011015296331606805,1.1749077820617548e-69
27,droplet,18m,21m,female,Them5,5.8024396896362305,2.1738486566391657e-07,1.2132202755310573e-05,7.245979213621467e-05,2.652674733853593e-23
28,droplet,18m,21m,female,Anxa8,5.802399158477783,2.7211251563130645e-06,0.00015186051314231008,0.00044781857286579907,0.0
29,droplet,18m,21m,female,Chit1,5.706872940063477,3.95307893086283e-07,2.0647927158279344e-05,8.428080036537722e-05,1.099469826724037e-70
30,droplet,18m,21m,female,Krt78,5.623169898986816,2.077968304092792e-07,1.0241977179248352e-05,7.285852188942954e-05,1.5401612608693523e-15
31,droplet,18m,21m,female,Calml3,5.4173970222473145,5.439064238998981e-07,2.3244705516844988e-05,0.00016834356938488781,9.359800229317803e-59
32,droplet,18m,21m,female,Dmkn,5.128259181976318,1.0278404261043761e-05,0.00035948900040239096,0.0013218095991760492,0.0
33,droplet,18m,21m,female,Clic3,5.0694475173950195,5.35033564119658e-07,1.7965425286092795e-05,9.700912050902843e-05,2.1048383172361608e-48
34,droplet,18m,21m,female,Gjb5,4.971662521362305,4.82761151943123e-07,1.5147912563406862e-05,7.165120041463524e-05,4.024509160914556e-37
35,droplet,18m,21m,female,Scel,4.90191650390625,6.451355716308171e-07,1.9287481336505152e-05,7.264885061886162e-05,6.820666759522002e-62
36,droplet,18m,21m,female,Lgals7,4.7594828605651855,5.27429256180767e-05,0.0014286020305007696,0.004200424998998642,0.0
37,droplet,18m,21m,female,Gpr87,4.737111568450928,2.6572911338007543e-07,7.0868522925593425e-06,3.169949559378438e-05,2.584880162786021e-06
38,droplet,18m,21m,female,Krt5,4.600271701812744,2.2483920474769548e-05,0.0005453707417473197,0.0018996181897819042,0.0
39,droplet,18m,21m,female,Sbsn,4.593966007232666,1.1262721272942144e-05,0.00027199750184081495,0.0015709435101598501,7.265371563001143e-207
40,droplet,18m,21m,female,S100a14,4.5522284507751465,4.9628397391643375e-06,0.00011643611651379615,0.0003423641319386661,0.0
41,droplet,18m,21m,female,Pou3f1,4.523539066314697,2.8428069072106155e-06,6.538354500662535e-05,0.00021836637461092323,0.0
42,droplet,18m,21m,female,Aldh3b2,4.4664998054504395,4.974725129613944e-07,1.0998167454090435e-05,5.0234408263349906e-05,8.187038488926438e-19
43,droplet,18m,21m,female,Trp63,4.434576988220215,9.22712899864564e-07,1.9952974980697036e-05,7.176953658927232e-05,1.4067656695122878e-64
