,dataset,start_age,end_age,sex,tissue,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
0,droplet,3m,24m,male,Kidney,Slc12a1,-18.843643188476562,0.0015329810557886958,3.257629499486825e-09,0.004109303466975689,3.82255978334385e-33
1,droplet,3m,24m,male,Kidney,Akr1c21,-17.09027099609375,0.0009914026595652103,7.104028476589974e-09,0.0014598675770685077,7.969704766058269e-118
2,droplet,3m,24m,male,Kidney,Timp3,-16.35926628112793,0.0014221890596672893,1.6916153811052936e-08,0.0014064733404666185,1.9069540292621392e-265
3,droplet,3m,24m,male,Kidney,Hnf4a,-15.06579303741455,0.00014044703857507557,4.094030003898297e-09,0.00025845630443654954,7.582661511603972e-73
4,droplet,3m,24m,male,Kidney,Spink3,-14.930218696594238,0.0024745729751884937,7.925944345288372e-08,0.0036662656348198652,2.1238898003625066e-116
5,droplet,3m,24m,male,Kidney,Calml4,-14.873334884643555,0.0002802493399940431,9.33637522848585e-09,0.0003948401426896453,4.4647651493665767e-128
6,droplet,3m,24m,male,Kidney,Glod5,-14.345186233520508,7.633656787220389e-05,3.6667633374065645e-09,0.00015838311810512096,7.803228745194932e-55
7,droplet,3m,24m,male,Kidney,Dnase1,-14.272109031677246,0.000566263566724956,2.8620050329664082e-08,0.001155911129899323,1.2857111340950667e-59
8,droplet,3m,24m,male,Kidney,Spp2,-14.254234313964844,0.00031861892784945667,1.6303946637208355e-08,0.0007624140125699341,2.1991315594745858e-42
9,droplet,3m,24m,male,Kidney,Aldob,-14.19180679321289,0.0017446427373215556,9.322714333848126e-08,0.002430990571156144,4.979447155494252e-132
10,droplet,3m,24m,male,Kidney,Tmem27,-13.870084762573242,0.0014836045447736979,9.908371367828295e-08,0.002074211137369275,4.1483262400691173e-131
11,droplet,3m,24m,male,Kidney,Slc27a2,-13.864550590515137,0.0008567953482270241,5.744124464968081e-08,0.0014777627075091004,6.24910127164841e-85
12,droplet,3m,24m,male,Kidney,Emcn,-13.780255317687988,0.0006228896090760827,4.427220190450498e-08,0.0015300228260457516,4.120870815223232e-40
13,droplet,3m,24m,male,Kidney,Mal,-13.76777172088623,0.0003156991151627153,2.2632994145510565e-08,0.0005054199718870223,1.0536049257751836e-98
14,droplet,3m,24m,male,Kidney,Pah,-13.61928653717041,0.0004019111511297524,3.193762410091949e-08,0.0005933853681199253,7.977016904870278e-117
15,droplet,3m,24m,male,Kidney,Tmem30b,-13.4569673538208,3.419075073907152e-05,3.0395892469670116e-09,0.00010598398512229323,3.0749280778009108e-21
16,droplet,3m,24m,male,Kidney,Gpx3,-13.40906047821045,0.017181411385536194,1.5795346826052992e-06,0.028276778757572174,1.1425769162025351e-93
17,droplet,3m,24m,male,Kidney,Cyp2d26,-13.363924980163574,9.07514404389076e-05,8.607179857733627e-09,0.0002509766782168299,2.8250399370345103e-30
18,droplet,3m,24m,male,Kidney,Slc34a1,-13.2860746383667,0.0024460554122924805,2.4488241479048156e-07,0.0034011672250926495,1.3303405435710727e-132
19,droplet,3m,24m,male,Kidney,Mecom,-13.205138206481934,5.947092722635716e-05,6.29640917182428e-09,0.0001418251049472019,3.704999043407904e-40
20,droplet,3m,24m,male,Kidney,S100g,-13.17212963104248,0.0039075277745723724,4.233453978486068e-07,0.017585119232535362,1.6368485157495064e-09
21,droplet,3m,24m,male,Kidney,BC024386,-13.105672836303711,4.346128844190389e-05,4.929624264349286e-09,0.00011862309474963695,4.859795185186242e-29
22,droplet,3m,24m,male,Kidney,Hsd11b2,-13.009848594665527,0.00025103436200879514,3.043436436200864e-08,0.0013224422000348568,5.386380115398648e-06
23,droplet,3m,24m,male,Kidney,Beta-s,12.974984169006348,5.905884790990967e-06,0.047549329698085785,0.1698731780052185,7.871017405163187e-94
24,droplet,3m,24m,male,Kidney,Meis2,-12.934077262878418,8.087565220193937e-05,1.0333094380143848e-08,0.00022308737970888615,2.8031230836171904e-30
25,droplet,3m,24m,male,Kidney,Vldlr,-12.924890518188477,5.5319134844467044e-05,7.112700650679926e-09,0.00011566185276024044,1.0409242621928114e-51
26,droplet,3m,24m,male,Kidney,Sod3,-12.921082496643066,0.00015431211795657873,1.989503672916726e-08,0.0002499156689736992,6.350404418443291e-95
27,droplet,3m,24m,male,Kidney,Baiap2l2,-12.909053802490234,7.155836647143587e-05,9.302534742516855e-09,0.00016977587074507028,2.2369994798707786e-41
28,droplet,3m,24m,male,Kidney,Efhd1,-12.90819263458252,0.00011324168008286506,1.4730710873323005e-08,0.0002451864129398018,1.5467776806692643e-51
29,droplet,3m,24m,male,Kidney,Ces2e,-12.857563018798828,2.949954432551749e-05,3.973688489367078e-09,0.00012001957657048479,3.502509237952205e-11
30,droplet,3m,24m,male,Kidney,Igj,12.7974214553833,3.3109250807683566e-07,0.002356993965804577,0.016411101445555687,3.8772968386551963e-22
31,droplet,3m,24m,male,Kidney,Tek,-12.727263450622559,7.232780626509339e-05,1.0665385907770997e-08,0.0002085854357574135,2.6800053550975282e-27
32,droplet,3m,24m,male,Kidney,S100a8,12.70332145690918,1.9121760033158353e-06,0.012752901762723923,0.050273213535547256,1.94491954617709e-76
33,droplet,3m,24m,male,Kidney,Dleu7,-12.693331718444824,2.1978403310640715e-05,3.3173523927843007e-09,7.011835987213999e-05,2.9405614123141094e-17
34,droplet,3m,24m,male,Kidney,Fermt2,-12.665014266967773,0.00010328278585802764,1.590198550616151e-08,0.00018109004304278642,4.7154973508288175e-79
35,droplet,3m,24m,male,Kidney,Pdzk1,-12.626977920532227,0.000352806004229933,5.577364703412968e-08,0.000519855588208884,3.7155160850103474e-117
36,droplet,3m,24m,male,Kidney,Car8,-12.617910385131836,2.7106396373710595e-05,4.311232704168333e-09,0.00012201302160974592,1.578719606068693e-08
37,droplet,3m,24m,male,Kidney,Slc22a8,-12.599246978759766,0.0001959990622708574,3.158558214977347e-08,0.0003935283166356385,2.814296110946667e-61
38,droplet,3m,24m,male,Kidney,Tmem72,-12.527445793151855,6.541948823723942e-05,1.1079779760336805e-08,0.00018002295109909028,5.1940897250589585e-30
39,droplet,3m,24m,male,Kidney,Pck1,-12.456062316894531,0.00053044268861413,9.440290682505292e-08,0.0009481291053816676,9.352337489764034e-79
40,droplet,3m,24m,male,Kidney,Ghr,-12.381851196289062,0.00015852614887990057,2.970144841185629e-08,0.0002802158996928483,1.936126046207275e-79
41,droplet,3m,24m,male,Kidney,Ramp2,-12.374532699584961,0.0001708624913590029,3.217568433910856e-08,0.00044779013842344284,1.3574893340620596e-34
42,droplet,3m,24m,male,Kidney,Clec14a,-12.338926315307617,7.827950321370736e-05,1.5108879480862925e-08,0.00024412503989879042,4.961579091848332e-23
43,droplet,3m,24m,male,Kidney,Col4a2,-12.292414665222168,5.4598538554273546e-05,1.0883171697173566e-08,0.00013603597471956164,2.712139139111927e-36
44,droplet,3m,24m,male,Kidney,Fxyd2,-12.24712085723877,0.006410738453269005,1.318732984145754e-06,0.006560606881976128,1.050467690102578e-247
45,droplet,3m,24m,male,Kidney,Fgf9,-12.24080753326416,4.11734617955517e-05,8.505820936477448e-09,0.00012465825420804322,3.8308064218012755e-23
46,droplet,3m,24m,male,Kidney,Ptprb,-12.232193946838379,0.00010624274727888405,2.2081179551491914e-08,0.0003093445848207921,3.661506845824769e-27
47,droplet,3m,24m,male,Kidney,Ngp,12.178410530090332,4.5055068653709895e-07,0.0020883893594145775,0.00946554820984602,5.808051613784767e-57
48,droplet,3m,24m,male,Kidney,Gpr116,-12.141779899597168,8.078711834968999e-05,1.7876315538956078e-08,0.00022155969054438174,1.1835333778011943e-30
49,droplet,3m,24m,male,Kidney,Serinc2,-12.120023727416992,1.811215770430863e-05,4.067923775608051e-09,6.209115963429213e-05,1.4984320727977272e-13
50,droplet,3m,24m,male,Kidney,Sfrp1,-12.098102569580078,0.00023222778690978885,5.2968065489267246e-08,0.000763237418141216,7.994727947962442e-21
51,droplet,3m,24m,male,Kidney,Atp6v0a4,-12.088587760925293,0.0001151176547864452,2.643005281299793e-08,0.00019138366042170674,1.1999783701442672e-88
52,droplet,3m,24m,male,Kidney,Zfp503,-12.05331802368164,0.00011926990555366501,2.8061123202860472e-08,0.00020192390365991741,1.1963468382889807e-85
53,droplet,3m,24m,male,Kidney,Slc44a4,-12.024479866027832,3.475590710877441e-05,8.341565660430206e-09,8.625810733065009e-05,3.025343417790962e-33
54,droplet,3m,24m,male,Kidney,Clec2h,-12.003195762634277,5.402808164944872e-05,1.3160263101497094e-08,0.0001643568539293483,1.0028058199780895e-23
55,droplet,3m,24m,male,Kidney,Fam176a,-12.002318382263184,6.807986937928945e-05,1.6593375562479196e-08,0.00014015386113896966,5.563660157725881e-55
56,droplet,3m,24m,male,Kidney,Slc22a12,-11.995838165283203,0.00043250201269984245,1.0589533161464715e-07,0.0007890051929280162,2.0771429739475858e-75
57,droplet,3m,24m,male,Kidney,Egf,-11.991272926330566,0.0020046536810696125,4.923859933114727e-07,0.004856953863054514,2.490609222688347e-41
58,droplet,3m,24m,male,Kidney,Cyr61,-11.988323211669922,0.0002261506742797792,5.56602728352118e-08,0.0005852643516846001,1.169751070642521e-35
59,droplet,3m,24m,male,Kidney,Plscr2,-11.938355445861816,0.00046363173169083893,1.1813166622687277e-07,0.0005306822131387889,1.95801135542374e-196
60,droplet,3m,24m,male,Kidney,Plvap,-11.927558898925781,0.0008271686965599656,2.1234347968857037e-07,0.002232675440609455,1.286687876596459e-32
61,droplet,3m,24m,male,Kidney,Tspan1,-11.897016525268555,7.171564357122406e-05,1.8803207879614092e-08,0.00019899346807505935,1.1379092547479876e-29
62,droplet,3m,24m,male,Kidney,Wfdc2,-11.890572547912598,0.0004954041796736419,1.304779857491667e-07,0.0010602260008454323,6.862804058761308e-54
63,droplet,3m,24m,male,Kidney,Gstm2,-11.865995407104492,0.00010335472325095907,2.7688159320859995e-08,0.00032735674176365137,1.8996409994357837e-22
64,droplet,3m,24m,male,Kidney,Efemp1,-11.862127304077148,3.8715425034752116e-05,1.039887109755e-08,0.00012533049448393285,8.014392448986297e-20
65,droplet,3m,24m,male,Kidney,Ldhd,-11.826994895935059,8.893117046682164e-05,2.4476882742874295e-08,0.00018245585670229048,8.160501258224216e-57
66,droplet,3m,24m,male,Kidney,Acy3,-11.825579643249512,0.0008456442155875266,2.32986906212318e-07,0.0014865975826978683,1.3740011676206241e-81
67,droplet,3m,24m,male,Kidney,Ttc36,-11.800141334533691,0.0008701342740096152,2.439990396396752e-07,0.0012669672723859549,1.7129994297119072e-120
68,droplet,3m,24m,male,Kidney,Slc16a12,-11.7968111038208,5.9986406995449215e-05,1.6859049267736737e-08,0.00012031345977447927,7.45180117438145e-57
69,droplet,3m,24m,male,Kidney,Parva,-11.7618989944458,5.4406864364864305e-05,1.5665406749576505e-08,0.00010647356975823641,1.4481136174410842e-58
70,droplet,3m,24m,male,Kidney,1600029D21Rik,-11.695326805114746,4.4374151912052184e-05,1.3379921171008391e-08,0.00021790388564113528,3.7151054495456805e-07
71,droplet,3m,24m,male,Kidney,C130074G19Rik,-11.668959617614746,0.0001124633927247487,3.453756391991192e-08,0.00018281232041772455,1.4210870474042897e-92
72,droplet,3m,24m,male,Kidney,Slc5a2,-11.665213584899902,0.00029861732036806643,9.194562977654641e-08,0.0006552223931066692,5.35268220508204e-51
73,droplet,3m,24m,male,Kidney,S100a9,11.650517463684082,3.145710479657282e-06,0.010112864896655083,0.039411187171936035,2.889678753352574e-78
74,droplet,3m,24m,male,Kidney,Ugt8a,-11.639364242553711,4.2911597120109946e-05,1.3450690339311677e-08,0.0001090497535187751,1.7612542634845303e-33
75,droplet,3m,24m,male,Kidney,Ank3,-11.572938919067383,0.0001512447779532522,4.964437039234326e-08,0.00022529375564772636,2.7760036224370688e-112
