,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
0,droplet,3m,21m,female,Spleen,nan,T cell,Sostdc1,9.926210403442383,3.532147161422472e-07,0.0003436585539020598,0.0010471532586961985,3.7568775019820835e-14
1,droplet,3m,21m,female,Spleen,nan,B cell,Anxa8,9.748526573181152,5.498171518070194e-08,4.729608554043807e-05,0.00019813036487903446,5.750604389245504e-46
2,droplet,3m,21m,female,Spleen,nan,B cell,Apobec2,9.385943412780762,4.587235835629144e-08,3.069098966079764e-05,0.00011193267710041255,4.806422752872793e-50
3,droplet,3m,21m,female,Spleen,nan,B cell,Apoc2,8.72115421295166,1.728594583028098e-07,7.294987153727561e-05,0.0002973669325001538,1.0031970306125598e-51
4,droplet,3m,21m,female,Spleen,nan,B cell,Upk1a,8.438472747802734,1.41986049584375e-07,4.9258607759838924e-05,0.0001344506163150072,5.586219191508821e-100
5,droplet,3m,21m,female,Spleen,nan,B cell,Cxcl10,7.856821537017822,9.803493128401897e-08,2.272606252518017e-05,0.00016669658361934125,6.8109065316608534e-12
6,droplet,3m,21m,female,Spleen,nan,B cell,Bmpr1a,7.696524620056152,4.2223938123697735e-08,8.758984222367872e-06,4.8523939767619595e-05,2.620819922066276e-07
7,droplet,3m,21m,female,Spleen,nan,B cell,Dnm3,7.470117568969727,2.184994514209393e-07,3.874197864206508e-05,0.0001138157385867089,8.033923252645281e-79
8,droplet,3m,21m,female,Spleen,nan,T cell,Lag3,7.377368927001953,2.8189754175400594e-06,0.00046870624646544456,0.0009276998462155461,7.422029103291674e-38
9,droplet,3m,21m,female,Spleen,nan,B cell,Klk1b27,7.139811992645264,1.4749629428933986e-07,2.0800875063287094e-05,8.00666311988607e-05,2.7291575370698084e-34
10,droplet,3m,21m,female,Spleen,nan,T cell,Rgs16,7.0117621421813965,4.238581254867313e-07,5.469810639624484e-05,0.00017394898168276995,4.519026940233156e-12
11,droplet,3m,21m,female,Mammary_Gland,nan,basal cell,Chac1,-6.886801242828369,7.705322786932811e-05,6.511131687148008e-07,0.00012116637662984431,7.02590259585498e-30
12,droplet,3m,21m,female,Spleen,nan,B cell,S1pr5,6.8505353927612305,1.2895634426968172e-07,1.48820490721846e-05,6.933249824214727e-05,4.312257786636186e-19
13,droplet,3m,21m,female,Spleen,nan,B cell,Cdkn2a,6.767673969268799,1.5284156518191594e-07,1.6653944840072654e-05,7.03400291968137e-05,1.8617041076163467e-24
14,droplet,3m,21m,female,Spleen,nan,B cell,Emr1,6.532781600952148,1.2899168950752937e-06,0.00011943325807806104,0.00023606678587384522,4.8456505190388753e-219
15,droplet,3m,21m,female,Mammary_Gland,nan,luminal epithelial cell of mammary gland,Col17a1,6.475489139556885,4.5830262251911336e-07,4.078211713931523e-05,0.00010206768638454378,4.86714183445163e-12
