,dataset,start_age,end_age,sex,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
0,facs,3m,18m,female,Clec4f,6.7872514724731445,3.058862034777121e-07,3.378528344910592e-05,0.0006412460934370756,2.717025887748711e-07
1,facs,3m,18m,female,Gzmk,6.546934604644775,2.506743896901753e-07,2.343880078115035e-05,0.0002195808629039675,1.3709913712335599e-29
2,facs,3m,18m,female,Cyp2c50,-6.001680850982666,1.1457750588306226e-05,1.788178849437827e-07,0.00016357422282453626,5.199458874140818e-08
3,facs,3m,18m,female,Clec4g,5.916773319244385,1.0743784741862328e-06,6.49058711132966e-05,0.0008495395886711776,2.482935939464826e-19
4,facs,3m,18m,female,Cd5l,5.642433166503906,4.780336553267261e-07,2.3878168576629832e-05,0.00042764152749441564,1.0193169124779645e-07
5,facs,3m,18m,female,Oit3,5.219749450683594,2.786812274280237e-07,1.0385092537035234e-05,0.00014880381058901548,9.963036207595638e-07
6,facs,3m,18m,female,Cyp3a11,-4.975277900695801,3.356936213094741e-05,1.0671730024114368e-06,0.00046274170745164156,2.1985928065391303e-15
7,facs,3m,18m,female,Slc22a7,4.705384731292725,7.0575902100245e-07,1.8412763893138617e-05,0.0003422410518396646,6.35158685580758e-06
8,facs,3m,18m,female,Stab2,4.438605308532715,6.843503115305793e-07,1.4839950381428935e-05,0.000204900061362423,4.867200477434987e-10
9,facs,3m,18m,female,Slc6a18,4.428033351898193,6.178133844514377e-07,1.3299302736413665e-05,0.0001938073692144826,5.290245655442067e-08
10,facs,3m,18m,female,Serpina6,4.240767478942871,2.397921662122826e-06,4.533497121883556e-05,0.000799199566245079,4.272151806030736e-08
11,facs,3m,18m,female,Aadat,4.115242004394531,4.035535312141292e-06,6.993787974352017e-05,0.0011090516345575452,2.0802405506164669e-10
12,facs,3m,18m,female,Cyp2c69,-3.9283130168914795,1.6629994206596166e-05,1.0923246236416162e-06,0.0002393573959125206,3.998736862145374e-09
13,facs,3m,18m,male,Ugt8a,-3.784620523452759,5.287175008561462e-05,3.8365360524039716e-06,0.0002774953900370747,3.4000429015037466e-120
14,facs,3m,18m,female,Dnase1l3,3.535947322845459,2.328401751583442e-05,0.00027007487369701266,0.0030551759991794825,5.72448426175135e-23
15,facs,3m,18m,male,Zfp536,-3.5185749530792236,9.058252544491552e-06,7.904007475190156e-07,8.254400745499879e-05,6.497193018293457e-08
16,facs,3m,18m,male,Chodl,-3.3356378078460693,3.935944914701395e-05,3.898718205164187e-06,0.0003164966474287212,4.08032521431012e-49
17,facs,3m,18m,male,Wif1,-3.32076096534729,3.967109660152346e-05,3.970319539803313e-06,0.000695915543474257,3.1316848944811797e-08
18,facs,3m,18m,male,Luzp2,-3.317617177963257,2.7554035114008002e-05,2.7636485810944578e-06,0.00028219076921232045,1.70040573979684e-26
19,facs,3m,18m,female,Lrp2,3.299736499786377,3.91715684600058e-06,3.857364572468214e-05,0.00047747118514962494,8.175324472034733e-16
20,facs,3m,18m,male,Cdh15,-3.2990005016326904,1.3135824701748788e-05,1.3346240166356438e-06,0.0001501809892943129,7.410652555862992e-12
