,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
0,facs,3m,18m,male,Aorta,Heart,aortic endothelial cell,Igfbp5,-14.474392890930176,0.0008412777679041028,3.6957388260816515e-08,0.0012657494517043233,7.773537900607733e-09
1,facs,3m,18m,female,Large_Intestine,Proximal,intestinal crypt stem cell,Rps4y2,-13.349674224853516,7.545472180936486e-05,7.227267229126255e-09,0.00013610694441013038,1.9259796631137181e-13
2,facs,3m,18m,male,Diaphragm,Limb_Muscle,macrophage,Rfc2,13.020965576171875,4.9845702676520887e-08,0.0004143217229284346,0.00037605196121148765,9.732154949793837e-07
3,facs,3m,18m,female,SCAT,Fat,epithelial cell,Prmt1,-11.685197830200195,8.931039337767288e-05,2.7120082179976635e-08,7.453491707565263e-05,2.2360653475159564e-06
4,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Map4k2,-11.666542053222656,5.610895823338069e-05,1.7259489837329056e-08,0.00010969932918669656,1.241808504485757e-07
5,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Ide,-11.654743194580078,4.9604812375037e-05,1.5383964324655608e-08,9.509577648714185e-05,5.1154297503689024e-08
6,facs,3m,18m,male,SCAT,Fat,B cell,Rasgef1b,-11.48176383972168,0.00031617001513950527,1.1055070814336432e-07,0.0004515267501119524,8.476082290152113e-09
7,facs,3m,18m,male,Trachea,nan,chondrocyte,Amfr,-11.4413423538208,0.00014794334128964692,5.3198562000034144e-08,0.00018820285913534462,4.928304730834592e-11
8,facs,3m,18m,female,Trachea,nan,chondrocyte,Cxx1c,-10.906586647033691,4.760273441206664e-05,2.479730909499267e-08,6.778792885597795e-05,4.261470882980123e-11
9,facs,3m,18m,male,Heart,RA,B cell,Psme1,10.859794616699219,3.6438686379369756e-07,0.0006771547487005591,0.00027959252474829555,3.4768958517056962e-09
10,facs,3m,18m,male,Marrow,B-cells,precursor B cell,Fcho1,-10.833014488220215,0.00011594520037760958,6.355998038998223e-08,0.00025066614034585655,6.494749868910469e-07
11,facs,3m,18m,male,SCAT,Fat,epithelial cell,Ctsb,-10.590932846069336,0.0007081679068505764,4.5914188717688376e-07,0.00048027990851551294,8.883290271458362e-08
12,facs,3m,18m,male,Trachea,nan,chondrocyte,Ski,-10.584019660949707,8.166112820617855e-05,5.3198562000034144e-08,0.00012307701399549842,8.537874376469084e-07
13,facs,3m,18m,female,SCAT,Fat,"CD8-positive, alpha-beta T cell",Ier5,10.450846672058105,4.267267570412514e-07,0.0005972680519334972,0.0005972040817141533,3.575434927651241e-08
14,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,5830418K08Rik,-10.420543670654297,2.6435742256580852e-05,1.9287366370690506e-08,5.2063427574466914e-05,7.093715846925785e-07
15,facs,3m,18m,male,Trachea,nan,smooth muscle cell of trachea,Zbtb20,-10.34924602508545,0.0003411278303246945,2.615063010580343e-07,0.00040044900379143655,6.707668501407567e-06
16,facs,3m,18m,male,Marrow,B-cells,precursor B cell,Il2ra,-10.278138160705566,0.00015771244943607599,1.2700908769147645e-07,0.0003188469563610852,2.0066434331253382e-08
17,facs,3m,18m,male,Marrow,B-cells,precursor B cell,Vezf1,-10.226753234863281,0.00014558729890268296,1.214955887007818e-07,0.0002963408187497407,2.9429803475118147e-08
18,facs,3m,18m,female,Aorta,Heart,professional antigen presenting cell,Ifitm3,10.193571090698242,1.643890755076427e-06,0.0019250577315688133,0.001804226078093052,7.680318903807329e-06
19,facs,3m,18m,female,Trachea,nan,chondrocyte,Bclaf1,-10.116881370544434,0.00012329494347795844,1.1103416852620285e-07,0.00019515221356414258,1.2859668673284577e-08
20,facs,3m,18m,female,Lung,EPCAM,respiratory basal cell,Tuba4a,10.041351318359375,2.0116311816309462e-07,0.00021198179456405342,0.00017077376833185554,1.798984675945805e-06
21,facs,3m,18m,male,Trachea,nan,chondrocyte,Slc41a1,-9.98797607421875,0.00010804738121805713,1.0639712400006829e-07,0.0001541502570034936,5.140005951554076e-08
22,facs,3m,18m,male,Marrow,B-cells,precursor B cell,Trp53inp1,-9.803756713867188,0.00024665205273777246,2.7596772156357474e-07,0.0004910220741294324,8.317601453067943e-09
23,facs,3m,18m,male,Trachea,nan,chondrocyte,Actr3,-9.799150466918945,0.0001895832974696532,2.1279424800013658e-07,0.00021221415954641998,2.900984342177978e-15
24,facs,3m,18m,male,Marrow,B-cells,precursor B cell,Flii,-9.793747901916504,0.00015476362023036927,1.7436305199680646e-07,0.0003304692800156772,3.5233106484905913e-07
25,facs,3m,18m,female,Trachea,nan,chondrocyte,Gpc4,-9.784120559692383,6.559119356097654e-05,7.439192017955065e-08,9.019870776683092e-05,2.430070075954499e-12
26,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Ppp4r1,-9.728822708129883,3.883197859977372e-05,4.576281043000563e-08,7.815474236849695e-05,8.065185395923607e-07
27,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Nsl1,-9.702800750732422,4.4902655645273626e-05,5.3880281569718136e-08,9.504734771326184e-05,6.360328584037477e-06
28,facs,3m,18m,female,Trachea,nan,chondrocyte,Suclg1,-9.679780960083008,7.078581984387711e-05,8.630518522068087e-08,0.00010464782826602459,2.9310405098306755e-10
29,facs,3m,18m,male,Trachea,nan,chondrocyte,Hbp1,-9.63338565826416,0.00016900515765883029,2.1279424800013658e-07,0.00023989447799976915,3.6998287901228915e-08
30,facs,3m,18m,male,Marrow,B-cells,precursor B cell,Copb1,-9.53361988067627,0.0002262732741655782,3.05299607816778e-07,0.00045957500697113574,2.5831389783644158e-08
31,facs,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Adhfe1,9.530726432800293,9.685699069450493e-07,0.0007164172129705548,0.00090230000205338,4.5755764309966586e-08
32,facs,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Cox5a,9.427915573120117,8.749021276344138e-07,0.0006026225746609271,0.00040464321500621736,2.99537718735527e-37
33,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Gabpa,-9.409595489501953,5.231357135926373e-05,7.691981807056436e-08,9.027398482430726e-05,1.1795315921459483e-10
34,facs,3m,18m,female,Trachea,nan,chondrocyte,Ubqln1,-9.321495056152344,6.165399099700153e-05,9.636228526233026e-08,9.691066952655092e-05,1.2405760840563331e-08
35,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Ppat,-9.276318550109863,6.100280734244734e-05,9.837740577722798e-08,0.00011780202476074919,6.610433317324775e-08
36,facs,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Atp6v0e,9.267363548278809,3.2285663564834977e-07,0.00019895982404705137,0.0002697738236747682,1.856710663102551e-06
37,facs,3m,18m,male,Aorta,Heart,aortic endothelial cell,Dnm2,-9.2398099899292,0.000192855455679819,3.189852577634156e-07,0.0003077925939578563,2.0787706956638826e-07
38,facs,3m,18m,male,Marrow,B-cells,precursor B cell,Ptbp1,-9.208541870117188,0.00018801935948431492,3.1779990194991115e-07,0.0004087286361027509,8.484430268191457e-07
39,facs,3m,18m,male,Trachea,nan,chondrocyte,Cttn,-9.194598197937012,0.0001558552758069709,2.659928100001707e-07,0.00019662349950522184,3.064256372785573e-11
40,facs,3m,18m,female,Trachea,nan,chondrocyte,Prrc2b,-9.15086555480957,5.477678860188462e-05,9.636228526233026e-08,9.667707490734756e-05,4.121878147367744e-06
41,facs,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Hspa9,9.137417793273926,8.749021276344138e-07,0.0004927160334773362,0.0005588013445958495,9.32876395886408e-11
42,facs,3m,18m,male,Trachea,nan,endothelial cell,Trex1,-9.13433837890625,0.0005872229230590165,1.0449433602843783e-06,0.000764753669500351,1.0465048382253017e-08
43,facs,3m,18m,male,Trachea,nan,endothelial cell,Zc3h11a,-9.132096290588379,0.0001268968771910295,2.2615905947986903e-07,0.00016592757310718298,1.4395533813067927e-08
44,facs,3m,18m,male,Trachea,nan,chondrocyte,Cbfb,-9.016776084899902,9.386733290739357e-05,1.8121407663329592e-07,0.0001354434061795473,1.0168354436277215e-07
45,facs,3m,18m,male,Bladder,nan,bladder cell,Ntrk1,-8.956888198852539,2.1710820874432102e-05,4.368922645880957e-08,7.094125612638891e-05,5.026422580755387e-06
46,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Utp6,-8.944462776184082,3.7896184949204326e-05,7.691981807056436e-08,7.400981849059463e-05,2.1093840101085876e-07
47,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Usp7,-8.933256149291992,5.5613058066228405e-05,1.1376137365459726e-07,0.00011840662045869976,7.189470997781274e-06
48,facs,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Rnh1,8.918892860412598,8.749021276344138e-07,0.00042346169357188046,0.0005929150502197444,7.76950723898193e-06
49,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Mapk14,-8.849749565124512,6.333985948003829e-05,1.3728843839544425e-07,0.00011870085290865973,1.3360992057562306e-08
50,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Lrrc41,-8.814569473266602,5.174943362362683e-05,1.1493489893155129e-07,0.00010596258653094992,1.3592534960700968e-06
51,facs,3m,18m,female,Lung,EPCAM,club cell of bronchiole,Cd47,8.797171592712402,9.72716293290432e-07,0.0004327122587710619,6.310861499514431e-05,6.479253534297575e-27
52,facs,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Ppp1ca,8.795138359069824,8.749021276344138e-07,0.0003886515914928168,0.0004876162565778941,3.948043733549848e-08
53,facs,3m,18m,male,GAT,Fat,endothelial cell,Map3k1,-8.795095443725586,0.00011724642536137253,2.6394320684630657e-07,0.00020086014410480857,3.7518751761791434e-06
54,facs,3m,18m,male,Marrow,B-cells,precursor B cell,Snf8,-8.794757843017578,5.645510464091785e-05,1.2711996077996446e-07,0.00011093880311818793,6.9664107187252916e-09
55,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Mga,-8.76803207397461,4.6947352529969066e-05,1.0768773961444822e-07,9.71922927419655e-05,2.4417038156195587e-06
56,facs,3m,18m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Ppp2r5c,8.673357009887695,2.4074179805211315e-07,9.828650945564732e-05,2.4768291041254997e-05,1.27890395129314e-06
57,facs,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,2410015M20Rik,8.630459785461426,3.2285663564834977e-07,0.00012794941721949726,0.0001542611134937033,4.754044868023247e-09
58,facs,3m,18m,female,Trachea,nan,chondrocyte,Slc25a39,-8.622282981872559,5.2974493883084506e-05,1.3443050761452469e-07,9.429721103515476e-05,6.331447684452483e-06
59,facs,3m,18m,male,MAT,Fat,"CD4-positive, alpha-beta T cell",Lars2,-8.615900993347168,0.0032554464414715767,8.297854037664365e-06,0.0020133056677877903,3.560747435692074e-20
60,facs,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Phb2,8.608064651489258,8.749021276344138e-07,0.00034138603950850666,0.0004611840413417667,1.6107384637468437e-06
61,facs,3m,18m,female,Marrow,Granulocytes,naive B cell,S100a9,8.593769073486328,6.259780639084056e-05,0.024184731766581535,0.007904843427240849,1.4279647112720152e-06
62,facs,3m,18m,male,Trachea,nan,chondrocyte,Tob2,-8.5337495803833,9.85794176813215e-05,2.659928100001707e-07,9.890980436466634e-05,1.4145686909587765e-19
63,facs,3m,18m,male,Trachea,nan,chondrocyte,Csnk1d,-8.521389961242676,0.00013317330740392208,3.6242815326659183e-07,0.00017343908257316798,2.7511125479600206e-10
64,facs,3m,18m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Diap1,8.490489959716797,2.1613135459119803e-07,7.773414108669385e-05,1.5771256585139781e-06,0.0
65,facs,3m,18m,female,Mammary_Gland,Mammary_Gland,basal cell,Serpinb11,-8.455628395080566,3.493280382826924e-05,9.950188939455984e-08,0.0001703077432466671,8.250550084450365e-07
66,facs,3m,18m,female,Lung,EPCAM,respiratory basal cell,Polr2e,8.446296691894531,6.631168503190565e-07,0.00023130200861487538,0.00013884660438634455,2.0807820528118e-14
67,facs,3m,18m,male,Marrow,B-cells,precursor B cell,Myh9,-8.426438331604004,7.824078784324229e-05,2.2741583904917206e-07,0.00017885930719785392,9.855416263235498e-06
68,facs,3m,18m,female,Trachea,nan,chondrocyte,2510003E04Rik,-8.418418884277344,4.5993616367923096e-05,1.3443050761452469e-07,8.084439468802884e-05,4.190889541933654e-06
69,facs,3m,18m,female,Lung,EPCAM,respiratory basal cell,Cept1,8.406179428100586,5.145740260559251e-07,0.00017456647765357047,0.00014468800509348512,7.112283955493625e-06
70,facs,3m,18m,male,MAT,Fat,"CD8-positive, alpha-beta T cell",Lars2,-8.403491973876953,0.002957564080134034,8.734358743822668e-06,0.0014606285840272903,4.790449008427164e-15
71,facs,3m,18m,male,Trachea,nan,chondrocyte,Pum1,-8.401174545288086,5.395470725488849e-05,1.5959568600010243e-07,8.527265163138509e-05,9.661083841032833e-06
72,facs,3m,18m,male,MAT,Fat,B cell,Lars2,-8.356151580810547,0.0024177832528948784,7.378449026873568e-06,0.0013093245215713978,3.557314283773443e-50
73,facs,3m,18m,female,BAT,Fat,mesenchymal stem cell of adipose,Dok1,8.354125022888184,1.324565118920873e-06,0.00043342678691260517,2.572993435023818e-05,1.0766130071614857e-178
74,facs,3m,18m,male,Pancreas,Endocrine,pancreatic PP cell,Epb4.1l3,-8.34055233001709,0.00019728401093743742,6.086038979447039e-07,0.00013850721006747335,7.885610416383393e-08
75,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Arl8b,-8.326886177062988,5.6073913583531976e-05,1.746287665582713e-07,0.00011241083848290145,4.96171287567476e-07
76,facs,3m,18m,female,Mammary_Gland,Mammary_Gland,stromal cell,Cd276,-8.283285140991211,2.3903281544335186e-05,7.672461066476899e-08,5.576154944719747e-05,4.865526840279238e-06
77,facs,3m,18m,female,SCAT,Fat,epithelial cell,Slc39a1,-8.27736759185791,0.0017972495406866074,5.7925858527596574e-06,0.0014882786199450493,1.576073868347427e-06
78,facs,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Prelid1,8.241315841674805,2.6247062123729847e-06,0.0007942625670693815,0.0006883821333758533,7.54265575682013e-21
79,facs,3m,18m,male,SCAT,Fat,T cell,Trp53,-8.155637741088867,0.0002126276376657188,7.456371236003179e-07,0.0002495408116374165,2.593539163048966e-06
80,facs,3m,18m,female,SCAT,Fat,epithelial cell,Rrn3,-8.145585060119629,0.000291837117401883,1.030563112180971e-06,0.00024116167332977057,1.4797413626146608e-06
81,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Ldb1,-8.126988410949707,3.0125280318316072e-05,1.0776056313943627e-07,5.5647145927650854e-05,2.514095312042732e-08
82,facs,3m,18m,male,Trachea,nan,chondrocyte,Fam115a,-8.113898277282715,8.635102130938321e-05,3.1170173997452366e-07,0.0001331348466919735,2.771901857518364e-06
83,facs,3m,18m,male,Trachea,nan,endothelial cell,Klf3,-8.081015586853027,0.00018372324120718986,6.784771926504618e-07,0.000272487523034215,7.472154896048551e-06
84,facs,3m,18m,male,Pancreas,Endocrine,pancreatic PP cell,Ncstn,-8.067558288574219,0.0003437978739384562,1.2815213494832278e-06,0.0002471792104188353,2.6918617550894153e-07
85,facs,3m,18m,male,SCAT,Fat,T cell,Sun2,-8.039368629455566,0.00019623158732429147,7.458940558535687e-07,0.00021544583432842046,1.049745421944333e-07
86,facs,3m,18m,male,SCAT,Fat,NK cell,Lars2,-8.0306978225708,0.0017030235612764955,6.5123772401420865e-06,0.0007114206091500819,4.812870864830774e-10
87,facs,3m,18m,female,Trachea,nan,chondrocyte,Mpp1,-8.024168968200684,6.285500421654433e-05,2.414473385670135e-07,0.00010866820230148733,1.6624419864118355e-06
88,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Rbbp5,-8.022918701171875,4.761176751344465e-05,1.8305124172002252e-07,9.376727393828332e-05,2.5492625675981936e-07
89,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Hccs,-8.016347885131836,7.96637759776786e-05,3.0767927228225744e-07,0.00010833219857886434,2.4177752646545974e-19
90,facs,3m,18m,female,SCAT,Fat,epithelial cell,Pan3,-7.998516082763672,0.0004736313421744853,1.8520253206588677e-06,0.0003301019605714828,1.2168864041269272e-10
91,facs,3m,18m,male,Trachea,nan,chondrocyte,Scin,-7.967866897583008,0.00024101386952679604,9.626637620385736e-07,0.0002963684964925051,5.7552881742819195e-12
92,facs,3m,18m,female,SCAT,Fat,epithelial cell,Sdc4,-7.905819416046143,0.010031859390437603,4.183046621619724e-05,0.008411947637796402,2.9072409982264654e-06
93,facs,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Aplp2,7.888706684112549,2.268768184876535e-06,0.0005376847111620009,0.0006314474157989025,9.961800560174817e-10
94,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Ppp3r1,-7.833471298217773,4.18414747400675e-05,1.8344032071127003e-07,8.461237302981317e-05,1.064394111506357e-06
95,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Eif4ebp2,-7.77659273147583,2.5202483811881393e-05,1.1493489893155129e-07,5.187757415114902e-05,6.564436959245271e-06
96,facs,3m,18m,male,MAT,Fat,NK cell,Lars2,-7.7457709312438965,0.0009898155694827437,4.611526946973754e-06,0.0003320454270578921,5.0872806420869745e-06
97,facs,3m,18m,male,Trachea,nan,chondrocyte,Plxdc2,-7.6825151443481445,0.00031523339566774666,1.534491502752644e-06,0.00039956989348866045,4.967457131811258e-11
98,facs,3m,18m,male,Pancreas,Exocrine,pancreatic B cell,Lars2,-7.66780424118042,0.004500544164329767,2.2132269805297256e-05,0.0024033805821090937,8.680738406782636e-11
99,facs,3m,18m,female,Trachea,nan,chondrocyte,Ubtd1,-7.647101879119873,8.084015280473977e-05,4.0329149442186463e-07,0.00013056171883363277,5.633672268453896e-08
100,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Ppp2cb,-7.634265899658203,2.775568464130629e-05,1.3970301893095893e-07,4.728520070784725e-05,4.855030569912828e-10
101,facs,3m,18m,male,Trachea,nan,chondrocyte,Sap18,-7.632248878479004,7.190497126430273e-05,3.6242815326659183e-07,0.00011282257764833048,6.836960641817587e-06
102,facs,3m,18m,male,Marrow,B-cells,late pro-B cell,Atp13a3,-7.625518321990967,4.005352093372494e-05,2.02828445594605e-07,6.662482337560505e-05,2.6295792615423762e-11
103,facs,3m,18m,male,SCAT,Fat,"CD4-positive, alpha-beta T cell",Lars2,-7.597286701202393,0.0010751107474789023,5.551903086598031e-06,0.0005355161265470088,1.877483961830524e-09
104,facs,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Rtn3,7.594290256500244,1.3938661140855402e-06,0.00026935842470265925,0.0003548598906490952,5.681978766021399e-07
105,facs,3m,18m,male,MAT,Fat,T cell,Irs2,-7.589420318603516,0.00018298285431228578,9.50094431573234e-07,6.161313649499789e-05,6.426641377824683e-06
106,facs,3m,18m,female,Heart,LA,fibroblast of cardiac tissue,Asb2,-7.587541580200195,7.607568113598973e-05,3.9551883901367546e-07,0.00022866706422064453,7.541772461078558e-11
107,facs,3m,18m,male,MAT,Fat,mesenchymal stem cell of adipose,Lars2,-7.584468841552734,0.0014402481028810143,7.503859251301037e-06,0.0008525281446054578,6.3130015762226484e-220
108,facs,3m,18m,female,Marrow,Granulocytes,granulocyte monocyte progenitor cell,1110057K04Rik,7.547555923461914,3.1943451972438197e-07,5.976182364975102e-05,1.1634917427727487e-05,4.524904682983639e-13
109,facs,3m,18m,male,Trachea,nan,endothelial cell,Pdcd6ip,-7.511067867279053,0.00020978257816750556,1.150038428932021e-06,0.0002900536928791553,3.1522977083084224e-07
110,facs,3m,18m,male,BAT,Fat,T cell,Lars2,-7.4710869789123535,0.0007921709911897779,4.464754965738393e-06,0.000681524456012994,4.008658408253319e-12
111,facs,3m,18m,male,Trachea,nan,chondrocyte,Anapc2,-7.445670127868652,0.00010201487020822242,5.851842388437944e-07,0.00015738215006422251,3.067460685907715e-06
112,facs,3m,18m,male,Trachea,nan,chondrocyte,Kctd10,-7.433436870574951,0.00011969597835559398,6.924548188180779e-07,0.00018206449749413878,1.5722562586469734e-06
113,facs,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Ndufa8,7.429351806640625,1.3938661140855402e-06,0.00024025869788601995,0.000245333940256387,6.646668134863298e-14
114,facs,3m,18m,male,Trachea,nan,chondrocyte,Smarca2,-7.40578031539917,0.00012291772873140872,7.248563065331837e-07,0.0001584808633197099,1.898552390956413e-10
115,facs,3m,18m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Casp8,7.39860725402832,9.629671922084526e-07,0.00016248550673481077,1.0254399967379868e-05,1.2328179537795612e-150
116,facs,3m,18m,male,SCAT,Fat,T cell,Gramd3,-7.384940147399902,0.0007560359663330019,4.523285042523639e-06,0.0007955966284498572,1.187277041319896e-08
117,facs,3m,18m,female,Trachea,nan,chondrocyte,Rfk,-7.360161304473877,0.00011214798723813146,6.825924856457277e-07,0.0001547650172142312,3.1512725922328916e-12
118,facs,3m,18m,male,SCAT,Fat,T cell,Lars2,-7.348775386810303,0.0016529221320524812,1.0140294762095436e-05,0.0011230201926082373,1.0574815704946744e-25
119,facs,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Eef2,7.313878536224365,3.822465259872843e-06,0.0006081917090341449,0.000693136069457978,1.7838455758063141e-10
